Word,Rolling Average,Year
oh,215.6,1987
yeah,108.4,1987
go,27.2,1987
might,0,1987
one,0,1987
also,0,1987
come,30.8,1987
baby,70.6,1987
day,0,1987
said,0,1987
la,0,1987
twist,0,1987
let,0,1987
got,76.2,1987
say,78.2,1987
um,0,1987
time,101.4,1987
girl,0,1987
na,161.4,1987
protest,0,1987
need,0,1987
get,0,1987
see,0,1987
take,0,1987
ooh,34.6,1987
sweet,0,1987
du,0,1987
man,0,1987
ca,0,1987
chance,0,1987
want,35,1987
feat,0,1987
night,78.6,1987
feel,36,1987
heart,27.8,1987
gon,0,1987
make,0,1987
never,0,1987
buddy,0,1987
way,0,1987
da,0,1987
wan,0,1987
jake,0,1987
boy,0,1987
ai,0,1987
back,0,1987
hey,0,1987
b***h,0,1987
ayy,0,1987
n***a,0,1987
love,326,1988
like,150.8,1988
know,193,1988
funny,0,1988
oh,218.4,1988
yeah,114.4,1988
go,27.2,1988
might,0,1988
one,0,1988
also,0,1988
come,0,1988
baby,113,1988
day,0,1988
said,0,1988
la,0,1988
twist,0,1988
let,0,1988
got,88.2,1988
say,40,1988
um,0,1988
time,69.4,1988
girl,0,1988
na,190.4,1988
protest,0,1988
need,0,1988
get,38.2,1988
see,0,1988
take,0,1988
ooh,34.6,1988
sweet,0,1988
du,0,1988
man,0,1988
ca,0,1988
chance,0,1988
want,35,1988
feat,0,1988
night,78.6,1988
feel,36,1988
heart,27.8,1988
gon,38.2,1988
make,0,1988
never,0,1988
buddy,0,1988
way,0,1988
da,0,1988
wan,0,1988
jake,0,1988
boy,0,1988
ai,0,1988
back,0,1988
hey,0,1988
b***h,0,1988
ayy,0,1988
n***a,0,1988
love,362.4,1989
like,153.8,1989
know,192,1989
funny,0,1989
oh,204.8,1989
yeah,114.4,1989
go,27.2,1989
might,0,1989
one,0,1989
also,0,1989
come,0,1989
baby,167.6,1989
day,0,1989
said,0,1989
la,0,1989
twist,0,1989
let,0,1989
got,85.4,1989
say,0,1989
um,0,1989
time,31.8,1989
girl,0,1989
na,208.6,1989
protest,0,1989
need,0,1989
get,38.2,1989
see,0,1989
take,0,1989
ooh,0,1989
sweet,0,1989
du,0,1989
man,0,1989
ca,0,1989
chance,0,1989
want,77.6,1989
feat,0,1989
night,30,1989
feel,36,1989
heart,27.8,1989
gon,38.2,1989
make,36.6,1989
never,35.4,1989
buddy,0,1989
way,0,1989
da,0,1989
wan,0,1989
jake,0,1989
boy,0,1989
ai,0,1989
back,0,1989
hey,0,1989
b***h,0,1989
ayy,0,1989
n***a,0,1989
love,392.6,1990
like,175.8,1990
know,216.4,1990
funny,0,1990
oh,240.2,1990
yeah,114.2,1990
go,27.2,1990
might,0,1990
one,0,1990
also,0,1990
come,0,1990
baby,194.6,1990
day,0,1990
said,0,1990
la,0,1990
twist,0,1990
let,0,1990
got,135,1990
say,0,1990
um,0,1990
time,31.8,1990
girl,35.2,1990
na,243.6,1990
protest,0,1990
need,0,1990
get,38.2,1990
see,0,1990
take,30,1990
ooh,0,1990
sweet,0,1990
du,0,1990
man,0,1990
ca,0,1990
chance,0,1990
want,42.6,1990
feat,0,1990
night,0,1990
feel,0,1990
heart,27.8,1990
gon,38.2,1990
make,36.6,1990
never,35.4,1990
buddy,0,1990
way,0,1990
da,0,1990
wan,0,1990
jake,0,1990
boy,0,1990
ai,0,1990
back,0,1990
hey,0,1990
b***h,0,1990
ayy,0,1990
n***a,0,1990
love,397.2,1991
like,176.4,1991
know,228.6,1991
funny,0,1991
oh,249,1991
yeah,127,1991
go,46.2,1991
might,0,1991
one,0,1991
also,0,1991
come,0,1991
baby,220.2,1991
day,0,1991
said,0,1991
la,0,1991
twist,0,1991
let,0,1991
got,175.4,1991
say,0,1991
um,0,1991
time,0,1991
girl,35.2,1991
na,259.8,1991
protest,0,1991
need,0,1991
get,78.4,1991
see,0,1991
take,30,1991
ooh,0,1991
sweet,0,1991
du,0,1991
man,0,1991
ca,0,1991
chance,0,1991
want,42.6,1991
feat,0,1991
night,0,1991
feel,0,1991
heart,0,1991
gon,38.2,1991
make,36.6,1991
never,35.4,1991
buddy,0,1991
way,0,1991
da,0,1991
wan,0,1991
jake,0,1991
boy,0,1991
ai,0,1991
back,0,1991
hey,0,1991
b***h,0,1991
ayy,0,1991
n***a,0,1991
love,405.4,1992
like,194.2,1992
know,227.6,1992
funny,0,1992
oh,237.2,1992
yeah,122.4,1992
go,46.2,1992
might,0,1992
one,0,1992
also,0,1992
come,0,1992
baby,232.4,1992
day,0,1992
said,0,1992
la,0,1992
twist,0,1992
let,0,1992
got,129.2,1992
say,0,1992
um,0,1992
time,39.6,1992
girl,35.2,1992
na,247.8,1992
protest,0,1992
need,0,1992
get,40.2,1992
see,0,1992
take,30,1992
ooh,0,1992
sweet,0,1992
du,0,1992
man,0,1992
ca,0,1992
chance,0,1992
want,42.6,1992
feat,0,1992
night,0,1992
feel,0,1992
heart,0,1992
gon,0,1992
make,36.6,1992
never,35.4,1992
buddy,46.2,1992
way,37,1992
da,0,1992
wan,0,1992
jake,0,1992
boy,0,1992
ai,0,1992
back,0,1992
hey,0,1992
b***h,0,1992
ayy,0,1992
n***a,0,1992
love,405.4,1993
like,197.8,1993
know,221.6,1993
funny,0,1993
oh,243,1993
yeah,175.8,1993
go,46.2,1993
might,0,1993
one,0,1993
also,0,1993
come,0,1993
baby,246.4,1993
day,0,1993
said,0,1993
la,0,1993
twist,0,1993
let,41,1993
got,151,1993
say,0,1993
um,0,1993
time,39.6,1993
girl,35.2,1993
na,254.8,1993
protest,0,1993
need,0,1993
get,101,1993
see,0,1993
take,30,1993
ooh,0,1993
sweet,0,1993
du,0,1993
man,0,1993
ca,0,1993
chance,0,1993
want,0,1993
feat,0,1993
night,0,1993
feel,0,1993
heart,0,1993
gon,0,1993
make,0,1993
never,0,1993
buddy,46.2,1993
way,37,1993
da,0,1993
wan,0,1993
jake,0,1993
boy,0,1993
ai,0,1993
back,0,1993
hey,0,1993
b***h,0,1993
ayy,0,1993
n***a,0,1993
love,386.4,1994
like,219.4,1994
know,224.2,1994
funny,0,1994
oh,199.8,1994
yeah,195.4,1994
go,113.4,1994
might,0,1994
one,0,1994
also,0,1994
come,0,1994
baby,270.6,1994
day,0,1994
said,0,1994
la,0,1994
twist,0,1994
let,41,1994
got,147.8,1994
say,0,1994
um,0,1994
time,39.6,1994
girl,0,1994
na,239.2,1994
protest,0,1994
need,0,1994
get,147.6,1994
see,0,1994
take,0,1994
ooh,0,1994
sweet,0,1994
du,0,1994
man,0,1994
ca,0,1994
chance,0,1994
want,0,1994
feat,0,1994
night,0,1994
feel,0,1994
heart,0,1994
gon,0,1994
make,0,1994
never,0,1994
buddy,46.2,1994
way,37,1994
da,0,1994
wan,0,1994
jake,0,1994
boy,0,1994
ai,0,1994
back,0,1994
hey,0,1994
b***h,0,1994
ayy,0,1994
n***a,0,1994
love,384.4,1995
like,230.8,1995
know,231,1995
funny,0,1995
oh,138.8,1995
yeah,193.2,1995
go,67.2,1995
might,0,1995
one,0,1995
also,0,1995
come,0,1995
baby,280,1995
day,0,1995
said,0,1995
la,0,1995
twist,0,1995
let,41,1995
got,151.6,1995
say,0,1995
um,0,1995
time,39.6,1995
girl,0,1995
na,238.2,1995
protest,0,1995
need,0,1995
get,107.4,1995
see,0,1995
take,0,1995
ooh,0,1995
sweet,0,1995
du,0,1995
man,0,1995
ca,0,1995
chance,0,1995
want,51,1995
feat,59.6,1995
night,0,1995
feel,0,1995
heart,0,1995
gon,0,1995
